# ACTS Test Suite Generation: Mon Apr 14 03:23:00 EDT 2025
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 2
# Maximum number of values per parameter: 15
# Number of configurations: 90
datetime,format
01/04/2025,S_DDMMYYYY
01/04/2025,S_DDMMYYYYHHMMA
01/04/2025,D_YYYYMMDD
01/04/2025,D_DDMMYYYY_N
01/04/2025,S_DDMMyy
01/04/2025,D_DDMMYYYY
01/04/2025 12:00 a.m.,S_DDMMYYYY
01/04/2025 12:00 a.m.,S_DDMMYYYYHHMMA
01/04/2025 12:00 a.m.,D_YYYYMMDD
01/04/2025 12:00 a.m.,D_DDMMYYYY_N
01/04/2025 12:00 a.m.,S_DDMMyy
01/04/2025 12:00 a.m.,D_DDMMYYYY
1743480000000L,S_DDMMYYYY
1743480000000L,S_DDMMYYYYHHMMA
1743480000000L,D_YYYYMMDD
1743480000000L,D_DDMMYYYY_N
1743480000000L,S_DDMMyy
1743480000000L,D_DDMMYYYY
invalid-date,S_DDMMYYYY
invalid-date,S_DDMMYYYYHHMMA
invalid-date,D_YYYYMMDD
invalid-date,D_DDMMYYYY_N
invalid-date,S_DDMMyy
invalid-date,D_DDMMYYYY
25/03/2025,S_DDMMYYYY
25/03/2025,S_DDMMYYYYHHMMA
25/03/2025,D_YYYYMMDD
25/03/2025,D_DDMMYYYY_N
25/03/2025,S_DDMMyy
25/03/2025,D_DDMMYYYY
45/13/2025,S_DDMMYYYY
45/13/2025,S_DDMMYYYYHHMMA
45/13/2025,D_YYYYMMDD
45/13/2025,D_DDMMYYYY_N
45/13/2025,S_DDMMyy
45/13/2025,D_DDMMYYYY
01/01/1970,S_DDMMYYYY
01/01/1970,S_DDMMYYYYHHMMA
01/01/1970,D_YYYYMMDD
01/01/1970,D_DDMMYYYY_N
01/01/1970,S_DDMMyy
01/01/1970,D_DDMMYYYY
31/02/2025,S_DDMMYYYY
31/02/2025,S_DDMMYYYYHHMMA
31/02/2025,D_YYYYMMDD
31/02/2025,D_DDMMYYYY_N
31/02/2025,S_DDMMyy
31/02/2025,D_DDMMYYYY
2025-04-01,S_DDMMYYYY
2025-04-01,S_DDMMYYYYHHMMA
2025-04-01,D_YYYYMMDD
2025-04-01,D_DDMMYYYY_N
2025-04-01,S_DDMMyy
2025-04-01,D_DDMMYYYY
01/01/2025 25:00,S_DDMMYYYY
01/01/2025 25:00,S_DDMMYYYYHHMMA
01/01/2025 25:00,D_YYYYMMDD
01/01/2025 25:00,D_DDMMYYYY_N
01/01/2025 25:00,S_DDMMyy
01/01/2025 25:00,D_DDMMYYYY
29/02/2000,S_DDMMYYYY
29/02/2000,S_DDMMYYYYHHMMA
29/02/2000,D_YYYYMMDD
29/02/2000,D_DDMMYYYY_N
29/02/2000,S_DDMMyy
29/02/2000,D_DDMMYYYY
29/02/2001,S_DDMMYYYY
29/02/2001,S_DDMMYYYYHHMMA
29/02/2001,D_YYYYMMDD
29/02/2001,D_DDMMYYYY_N
29/02/2001,S_DDMMyy
29/02/2001,D_DDMMYYYY
01/04/2025 04:00 p.m.,S_DDMMYYYY
01/04/2025 04:00 p.m.,S_DDMMYYYYHHMMA
01/04/2025 04:00 p.m.,D_YYYYMMDD
01/04/2025 04:00 p.m.,D_DDMMYYYY_N
01/04/2025 04:00 p.m.,S_DDMMyy
01/04/2025 04:00 p.m.,D_DDMMYYYY
01-Apr-2025,S_DDMMYYYY
01-Apr-2025,S_DDMMYYYYHHMMA
01-Apr-2025,D_YYYYMMDD
01-Apr-2025,D_DDMMYYYY_N
01-Apr-2025,S_DDMMyy
01-Apr-2025,D_DDMMYYYY
01/04/25,S_DDMMYYYY
01/04/25,S_DDMMYYYYHHMMA
01/04/25,D_YYYYMMDD
01/04/25,D_DDMMYYYY_N
01/04/25,S_DDMMyy
01/04/25,D_DDMMYYYY
