datetime,format
01/04/2025,S_DDMMYYYY
01/04/2025 12:00 a.m.,S_DDMMYYYY
1743480000000L,S_DDMMYYYY
invalid-date,S_DDMMYYYY
29/02/2020,S_DDMMYYYY
29/02/2020 12:0 a.m.,S_DDMMYYYY
1582952400000L,S_DDMMYYYY
29/02/2021,S_DDMMYYYY
29/02/2021 hour:minute a.m.,S_DDMMYYYY
31/04/year,S_DDMMYYYY
31/04/year hour:minute a.m.,S_DDMMYYYY
31/12/2024,S_DDMMYYYY
31/12/2024 23:59 a.m.,S_DDMMYYYY
1735621200000L,S_DDMMYYYY
01/01/1,S_DDMMYYYY
01/01/1 0:0 a.m.,S_DDMMYYYY
31/12/9999,S_DDMMYYYY
31/12/9999 23:59 a.m.,S_DDMMYYYY
253402232400000L,S_DDMMYYYY
01/04/2025,S_DDMMYYYYHHMMA
01/04/2025 12:00 a.m.,S_DDMMYYYYHHMMA
1743480000000L,S_DDMMYYYYHHMMA
invalid-date,S_DDMMYYYYHHMMA
29/02/2020,S_DDMMYYYYHHMMA
29/02/2020 12:0 a.m.,S_DDMMYYYYHHMMA
1582952400000L,S_DDMMYYYYHHMMA
29/02/2021,S_DDMMYYYYHHMMA
29/02/2021 hour:minute a.m.,S_DDMMYYYYHHMMA
31/04/year,S_DDMMYYYYHHMMA
31/04/year hour:minute a.m.,S_DDMMYYYYHHMMA
31/12/2024,S_DDMMYYYYHHMMA
31/12/2024 23:59 a.m.,S_DDMMYYYYHHMMA
1735621200000L,S_DDMMYYYYHHMMA
01/01/1,S_DDMMYYYYHHMMA
01/01/1 0:0 a.m.,S_DDMMYYYYHHMMA
31/12/9999,S_DDMMYYYYHHMMA
31/12/9999 23:59 a.m.,S_DDMMYYYYHHMMA
253402232400000L,S_DDMMYYYYHHMMA
01/04/2025,D_YYYYMMDD
01/04/2025 12:00 a.m.,D_YYYYMMDD
1743480000000L,D_YYYYMMDD
invalid-date,D_YYYYMMDD
29/02/2020,D_YYYYMMDD
29/02/2020 12:0 a.m.,D_YYYYMMDD
1582952400000L,D_YYYYMMDD
29/02/2021,D_YYYYMMDD
29/02/2021 hour:minute a.m.,D_YYYYMMDD
31/04/year,D_YYYYMMDD
31/04/year hour:minute a.m.,D_YYYYMMDD
31/12/2024,D_YYYYMMDD
31/12/2024 23:59 a.m.,D_YYYYMMDD
1735621200000L,D_YYYYMMDD
01/01/1,D_YYYYMMDD
01/01/1 0:0 a.m.,D_YYYYMMDD
31/12/9999,D_YYYYMMDD
31/12/9999 23:59 a.m.,D_YYYYMMDD
253402232400000L,D_YYYYMMDD
01/04/2025,D_DDMMYYYY_N
01/04/2025 12:00 a.m.,D_DDMMYYYY_N
1743480000000L,D_DDMMYYYY_N
invalid-date,D_DDMMYYYY_N
29/02/2020,D_DDMMYYYY_N
29/02/2020 12:0 a.m.,D_DDMMYYYY_N
1582952400000L,D_DDMMYYYY_N
29/02/2021,D_DDMMYYYY_N
29/02/2021 hour:minute a.m.,D_DDMMYYYY_N
31/04/year,D_DDMMYYYY_N
31/04/year hour:minute a.m.,D_DDMMYYYY_N
31/12/2024,D_DDMMYYYY_N
31/12/2024 23:59 a.m.,D_DDMMYYYY_N
1735621200000L,D_DDMMYYYY_N
01/01/1,D_DDMMYYYY_N
01/01/1 0:0 a.m.,D_DDMMYYYY_N
31/12/9999,D_DDMMYYYY_N
31/12/9999 23:59 a.m.,D_DDMMYYYY_N
253402232400000L,D_DDMMYYYY_N
01/04/2025,S_DDMMyy
01/04/2025 12:00 a.m.,S_DDMMyy
1743480000000L,S_DDMMyy
invalid-date,S_DDMMyy
29/02/2020,S_DDMMyy
29/02/2020 12:0 a.m.,S_DDMMyy
1582952400000L,S_DDMMyy
29/02/2021,S_DDMMyy
29/02/2021 hour:minute a.m.,S_DDMMyy
31/04/year,S_DDMMyy
31/04/year hour:minute a.m.,S_DDMMyy
31/12/2024,S_DDMMyy
31/12/2024 23:59 a.m.,S_DDMMyy
1735621200000L,S_DDMMyy
01/01/1,S_DDMMyy
01/01/1 0:0 a.m.,S_DDMMyy
31/12/9999,S_DDMMyy
31/12/9999 23:59 a.m.,S_DDMMyy
253402232400000L,S_DDMMyy
