# ACTS Test Suite Generation: Sun Apr 13 09:30:36 EDT 2025
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 3
# Maximum number of values per parameter: 6
# Number of configurations: 150
a,b,c
1,1,1
1,1,0
1,1,-1
1,1,1e-100
1,1,1e100
0,1,1
0,1,0
0,1,-1
0,1,1e-100
0,1,1e100
-1,1,1
-1,1,0
-1,1,-1
-1,1,1e-100
-1,1,1e100
1e-100,1,1
1e-100,1,0
1e-100,1,-1
1e-100,1,1e-100
1e-100,1,1e100
1e100,1,1
1e100,1,0
1e100,1,-1
1e100,1,1e-100
1e100,1,1e100
1,0,1
1,0,0
1,0,-1
1,0,1e-100
1,0,1e100
0,0,1
0,0,0
0,0,-1
0,0,1e-100
0,0,1e100
-1,0,1
-1,0,0
-1,0,-1
-1,0,1e-100
-1,0,1e100
1e-100,0,1
1e-100,0,0
1e-100,0,-1
1e-100,0,1e-100
1e-100,0,1e100
1e100,0,1
1e100,0,0
1e100,0,-1
1e100,0,1e-100
1e100,0,1e100
1,-1,1
1,-1,0
1,-1,-1
1,-1,1e-100
1,-1,1e100
0,-1,1
0,-1,0
0,-1,-1
0,-1,1e-100
0,-1,1e100
-1,-1,1
-1,-1,0
-1,-1,-1
-1,-1,1e-100
-1,-1,1e100
1e-100,-1,1
1e-100,-1,0
1e-100,-1,-1
1e-100,-1,1e-100
1e-100,-1,1e100
1e100,-1,1
1e100,-1,0
1e100,-1,-1
1e100,-1,1e-100
1e100,-1,1e100
1,1e-100,1
1,1e-100,0
1,1e-100,-1
1,1e-100,1e-100
1,1e-100,1e100
0,1e-100,1
0,1e-100,0
0,1e-100,-1
0,1e-100,1e-100
0,1e-100,1e100
-1,1e-100,1
-1,1e-100,0
-1,1e-100,-1
-1,1e-100,1e-100
-1,1e-100,1e100
1e-100,1e-100,1
1e-100,1e-100,0
1e-100,1e-100,-1
1e-100,1e-100,1e-100
1e-100,1e-100,1e100
1e100,1e-100,1
1e100,1e-100,0
1e100,1e-100,-1
1e100,1e-100,1e-100
1e100,1e-100,1e100
1,1e100,1
1,1e100,0
1,1e100,-1
1,1e100,1e-100
1,1e100,1e100
0,1e100,1
0,1e100,0
0,1e100,-1
0,1e100,1e-100
0,1e100,1e100
-1,1e100,1
-1,1e100,0
-1,1e100,-1
-1,1e100,1e-100
-1,1e100,1e100
1e-100,1e100,1
1e-100,1e100,0
1e-100,1e100,-1
1e-100,1e100,1e-100
1e-100,1e100,1e100
1e100,1e100,1
1e100,1e100,0
1e100,1e100,-1
1e100,1e100,1e-100
1e100,1e100,1e100
1,2,1
1,2,0
1,2,-1
1,2,1e-100
1,2,1e100
0,2,1
0,2,0
0,2,-1
0,2,1e-100
0,2,1e100
-1,2,1
-1,2,0
-1,2,-1
-1,2,1e-100
-1,2,1e100
1e-100,2,1
1e-100,2,0
1e-100,2,-1
1e-100,2,1e-100
1e-100,2,1e100
1e100,2,1
1e100,2,0
1e100,2,-1
1e100,2,1e-100
1e100,2,1e100
