GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SYSC5807Project,org.example,DateHelper,54,248,0,2,19,50,2,16,2,15
SYSC5807Project,org.example,DateHelperTestFileGeneratorByZ3,259,0,14,0,75,0,9,0,2,0
SYSC5807Project,org.example,Quadratic.NotEnoughPrecisionException,3,0,0,0,1,0,1,0,1,0
SYSC5807Project,org.example,QuadraticTestFileGeneratorByCombinatorial,401,0,12,0,123,0,8,0,2,0
SYSC5807Project,org.example,QuadraticTestFileGeneratorByZ3,401,0,12,0,123,0,8,0,2,0
SYSC5807Project,org.example,QuadraticTestCaseGeneratorByZ3,874,0,12,0,77,0,10,0,4,0
SYSC5807Project,org.example,DateHelperTestCaseGeneratorByZ3.TestCase,9,0,0,0,4,0,1,0,1,0
SYSC5807Project,org.example,Quadratic,319,0,34,0,73,0,24,0,7,0
SYSC5807Project,org.example,DateHelper.DateFormats,0,322,0,0,0,24,0,3,0,3
SYSC5807Project,org.example,DateHelperTestFileGeneratorByCombinatorial,259,0,14,0,75,0,9,0,2,0
SYSC5807Project,org.example,DateHelperTestCaseGeneratorByZ3,619,0,10,0,88,0,10,0,5,0
